sensor_name,hour,latitude,longitude,avg_pedestrians
Bou688_T,14,-37.81686075,144.95358075,962.7
Bou688_T,15,-37.81686075,144.95358075,1061.1
Bou688_T,16,-37.81686075,144.95358075,1412.4
Bou688_T,17,-37.81686075,144.95358075,1627.7
Bou688_T,18,-37.81686075,144.95358075,1064.6
Bou688_T,19,-37.81686075,144.95358075,712.4
Bou688_T,20,-37.81686075,144.95358075,517.5
Bou688_T,21,-37.81686075,144.95358075,468.4
Bou688_T,22,-37.81686075,144.95358075,446.9
Bou688_T,23,-37.81686075,144.95358075,331.2
Bou892T,0,-37.8204637,144.94126826,3.3
Bou892T,1,-37.8204637,144.94126826,2.1
Bou892T,2,-37.8204637,144.94126826,1.7
Bou892T,3,-37.8204637,144.94126826,1.5
Bou892T,4,-37.8204637,144.94126826,1.5
Bou892T,5,-37.8204637,144.94126826,2.4
Bou892T,6,-37.8204637,144.94126826,20.4
Bou892T,7,-37.8204637,144.94126826,23.8
Bou892T,8,-37.8204637,144.94126826,41.5
Bou892T,9,-37.8204637,144.94126826,62.8
Bou892T,10,-37.8204637,144.94126826,82.4
Bou892T,11,-37.8204637,144.94126826,88.7
Bou892T,12,-37.8204637,144.94126826,135.4
Bou892T,13,-37.8204637,144.94126826,114.3
Bou892T,14,-37.8204637,144.94126826,93.0
Bou892T,15,-37.8204637,144.94126826,91.6
Bou892T,16,-37.8204637,144.94126826,81.7
Bou892T,17,-37.8204637,144.94126826,81.0
Bou892T,18,-37.8204637,144.94126826,81.8
Bou892T,19,-37.8204637,144.94126826,58.4
Bou892T,20,-37.8204637,144.94126826,42.7
Bou892T,21,-37.8204637,144.94126826,22.4
Bou892T,22,-37.8204637,144.94126826,12.7
Bou892T,23,-37.8204637,144.94126826,6.5
BouHbr2353_T,0,-37.81894815,144.94612292,6.7
BouHbr2353_T,1,-37.81894815,144.94612292,3.3
BouHbr2353_T,2,-37.81894815,144.94612292,1.6
BouHbr2353_T,3,-37.81894815,144.94612292,1.9
BouHbr2353_T,4,-37.81894815,144.94612292,1.3
BouHbr2353_T,5,-37.81894815,144.94612292,2.5
BouHbr2353_T,6,-37.81894815,144.94612292,13.1
BouHbr2353_T,7,-37.81894815,144.94612292,52.1
BouHbr2353_T,8,-37.81894815,144.94612292,109.9
BouHbr2353_T,9,-37.81894815,144.94612292,87.5
BouHbr2353_T,10,-37.81894815,144.94612292,52.6
BouHbr2353_T,11,-37.81894815,144.94612292,65.4
BouHbr2353_T,12,-37.81894815,144.94612292,118.0
BouHbr2353_T,13,-37.81894815,144.94612292,89.4
BouHbr2353_T,14,-37.81894815,144.94612292,70.7
BouHbr2353_T,15,-37.81894815,144.94612292,101.2
BouHbr2353_T,16,-37.81894815,144.94612292,145.8
BouHbr2353_T,17,-37.81894815,144.94612292,119.5
BouHbr2353_T,18,-37.81894815,144.94612292,51.2
BouHbr2353_T,19,-37.81894815,144.94612292,36.6
BouHbr2353_T,20,-37.81894815,144.94612292,22.2
BouHbr2353_T,21,-37.81894815,144.94612292,12.2
BouHbr2353_T,22,-37.81894815,144.94612292,11.8
BouHbr2353_T,23,-37.81894815,144.94612292,9.4
BouHbr_T,0,-37.81876474,144.94710545,21.4
BouHbr_T,1,-37.81876474,144.94710545,7.9
BouHbr_T,2,-37.81876474,144.94710545,4.4
BouHbr_T,3,-37.81876474,144.94710545,3.7
BouHbr_T,4,-37.81876474,144.94710545,3.2
BouHbr_T,5,-37.81876474,144.94710545,7.1
BouHbr_T,6,-37.81876474,144.94710545,26.2
BouHbr_T,7,-37.81876474,144.94710545,90.2
BouHbr_T,8,-37.81876474,144.94710545,161.6
BouHbr_T,9,-37.81876474,144.94710545,135.6
BouHbr_T,10,-37.81876474,144.94710545,108.5
BouHbr_T,11,-37.81876474,144.94710545,129.1
BouHbr_T,12,-37.81876474,144.94710545,230.7
BouHbr_T,13,-37.81876474,144.94710545,177.3
BouHbr_T,14,-37.81876474,144.94710545,128.5
BouHbr_T,15,-37.81876474,144.94710545,150.0
BouHbr_T,16,-37.81876474,144.94710545,197.7
BouHbr_T,17,-37.81876474,144.94710545,205.3
BouHbr_T,18,-37.81876474,144.94710545,147.5
BouHbr_T,19,-37.81876474,144.94710545,109.9
BouHbr_T,20,-37.81876474,144.94710545,81.0
BouHbr_T,21,-37.81876474,144.94710545,65.7
BouHbr_T,22,-37.81876474,144.94710545,64.0
BouHbr_T,23,-37.81876474,144.94710545,50.1
Bourke155_T,0,-37.81267313,144.96788288,193.4
Bourke155_T,1,-37.81267313,144.96788288,124.4
Bourke155_T,2,-37.81267313,144.96788288,77.8
Bourke155_T,3,-37.81267313,144.96788288,59.3
Bourke155_T,4,-37.81267313,144.96788288,24.8
Bourke155_T,5,-37.81267313,144.96788288,17.8
Bourke155_T,6,-37.81267313,144.96788288,33.9
Bourke155_T,7,-37.81267313,144.96788288,69.3
Bourke155_T,8,-37.81267313,144.96788288,139.2
Bourke155_T,9,-37.81267313,144.96788288,179.0
Bourke155_T,10,-37.81267313,144.96788288,282.3
Bourke155_T,11,-37.81267313,144.96788288,465.2
Bourke155_T,12,-37.81267313,144.96788288,843.4
Bourke155_T,13,-37.81267313,144.96788288,872.8
Bourke155_T,14,-37.81267313,144.96788288,726.7
Bourke155_T,15,-37.81267313,144.96788288,689.0
Bourke155_T,16,-37.81267313,144.96788288,703.9
Bourke155_T,17,-37.81267313,144.96788288,813.0
Bourke155_T,18,-37.81267313,144.96788288,827.0
Bourke155_T,19,-37.81267313,144.96788288,783.9
Bourke155_T,20,-37.81267313,144.96788288,669.1
Bourke155_T,21,-37.81267313,144.96788288,530.6
Bourke155_T,22,-37.81267313,144.96788288,424.3
Bourke155_T,23,-37.81267313,144.96788288,283.0
Boyd2837_T,0,-37.82590962,144.96185972,6.5
Boyd2837_T,1,-37.82590962,144.96185972,3.4
Boyd2837_T,2,-37.82590962,144.96185972,2.5
Boyd2837_T,3,-37.82590962,144.96185972,2.3
Boyd2837_T,4,-37.82590962,144.96185972,2.2
Boyd2837_T,5,-37.82590962,144.96185972,5.1
Boyd2837_T,6,-37.82590962,144.96185972,28.0
Boyd2837_T,7,-37.82590962,144.96185972,82.0
Boyd2837_T,8,-37.82590962,144.96185972,172.1
Boyd2837_T,9,-37.82590962,144.96185972,141.9
Boyd2837_T,10,-37.82590962,144.96185972,150.4
Boyd2837_T,11,-37.82590962,144.96185972,157.9
Boyd2837_T,12,-37.82590962,144.96185972,169.0
Boyd2837_T,13,-37.82590962,144.96185972,159.0
Boyd2837_T,14,-37.82590962,144.96185972,152.7
Boyd2837_T,15,-37.82590962,144.96185972,178.4
Boyd2837_T,16,-37.82590962,144.96185972,193.1
Boyd2837_T,17,-37.82590962,144.96185972,204.4
Boyd2837_T,18,-37.82590962,144.96185972,172.9
Boyd2837_T,19,-37.82590962,144.96185972,144.8
Boyd2837_T,20,-37.82590962,144.96185972,73.2
Boyd2837_T,21,-37.82590962,144.96185972,8.2
Boyd2837_T,22,-37.82590962,144.96185972,10.6
Boyd2837_T,23,-37.82590962,144.96185972,9.2
Col12_T,0,-37.81344862,144.97305353,8.1
Col12_T,1,-37.81344862,144.97305353,4.6
Col12_T,2,-37.81344862,144.97305353,3.2
Col12_T,3,-37.81344862,144.97305353,2.6
Col12_T,4,-37.81344862,144.97305353,2.3
Col12_T,5,-37.81344862,144.97305353,9.2
Col12_T,6,-37.81344862,144.97305353,51.2
Col12_T,7,-37.81344862,144.97305353,236.1
Col12_T,8,-37.81344862,144.97305353,827.0
Col12_T,9,-37.81344862,144.97305353,510.9
Col12_T,10,-37.81344862,144.97305353,312.9
Col12_T,11,-37.81344862,144.97305353,299.9
Col12_T,12,-37.81344862,144.97305353,385.1
Col12_T,13,-37.81344862,144.97305353,382.0
Col12_T,14,-37.81344862,144.97305353,323.5
Col12_T,15,-37.81344862,144.97305353,334.4
Col12_T,16,-37.81344862,144.97305353,435.7
Col12_T,17,-37.81344862,144.97305353,509.5
Col12_T,18,-37.81344862,144.97305353,198.7
Col12_T,19,-37.81344862,144.97305353,84.2
Col12_T,20,-37.81344862,144.97305353,42.3
Col12_T,21,-37.81344862,144.97305353,31.0
Col12_T,22,-37.81344862,144.97305353,26.9
Col12_T,23,-37.81344862,144.97305353,15.6
