tree_id,scientific_name,diameter_breast_height_cm,tree_latitude,tree_longitude,canopy_id,canopy_area,canopy_diameter
1033250,Lophostemon confertus,25.0,-37.82332105,144.9738755,34995,66.176,9.179
1033254,Corymbia maculata,25.0,-37.82345261,144.9736047,31731,276.684,18.769
1033257,Fraxinus angustifolia,30.0,-37.82330061,144.9735377,16365,309.289,19.844
1033259,Fraxinus angustifolia,30.0,-37.8235301,144.973497,31731,276.684,18.769
1033262,Ulmus procera,45.0,-37.82362227,144.973263,56377,1127.547,37.89
1033282,Quercus palustris,30.0,-37.82449958,144.9741236,49353,599.82,27.635
1033287,Hesperocyparis glabra,76.0,-37.82481811,144.974053,15453,1740.875,47.08
1033298,Corymbia maculata,35.0,-37.8244932,144.9751183,40264,150.82,13.857
1033313,Ficus macrophylla,75.0,-37.8246862,144.9752845,44535,3294.477,64.766
1033316,Cupressus sempervirens,40.0,-37.82485702,144.9753392,44535,3294.477,64.766
1033317,Alectryon subcinereus,24.0,-37.82478954,144.9751116,44535,3294.477,64.766
1033319,Corymbia maculata,40.0,-37.82491908,144.975213,44535,3294.477,64.766
1033321,Agathis robusta,31.0,-37.82485048,144.9750853,44535,3294.477,64.766
1033324,Cassine crocea,50.0,-37.82479175,144.9749027,44535,3294.477,64.766
1033326,Syncarpia glomulifera,34.0,-37.82473228,144.9748707,44535,3294.477,64.766
1033329,Corymbia maculata,60.0,-37.8248351,144.9746939,44535,3294.477,64.766
1033333,Quercus acutissima,40.0,-37.82488938,144.974601,44535,3294.477,64.766
1033335,Grevillea hilliana,20.0,-37.82502946,144.9746582,44535,3294.477,64.766
1033339,Eucalyptus cladocalyx,45.0,-37.82445714,144.9753402,24405,218.266,16.67
1033341,Cupressus sempervirens,30.0,-37.82451888,144.9754981,54186,10.469,3.651
1033342,Cupressus sempervirens,30.0,-37.82455231,144.975422,31835,19.113,4.933
1033343,Cupressus sempervirens,30.0,-37.82462299,144.975426,24754,38.371,6.99
