id,name,category,sub_category,address,latitude,longitude,artist,year,description,material
107,Grotto Waterfall,Memorials & Sculptures,Arts & Heritage  - Memorials - Waterfall,,-37.8256393194989,144.97676107552,,,,
108,George Hawkins Ievers Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7921729137983,144.958090228013,,,,
109,Peter Pan,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.784772976215,144.952364829892,,,,
110,Birrarung Wilam [Common Ground],Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture- Common Ground BMarr (AW5003),,-37.8185957247729,144.971821698135,,,,
111,Exhibition Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8054567702426,144.971368327059,,,,
112,Electric Supply Box D,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8135248905976,144.965912867161,,,,
113,Resting Place,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture / Seat,,-37.8103721087661,144.964076451277,,,,
114,Fruition,Memorials & Sculptures,Art & Heritage - Sculpture - Fruition,,-37.7895848548551,144.943006771705,,,,
115,Clayton Reserve Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7956635547352,144.93893479621,,,,
116,John Batman Memorial [2],Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.817659776023,144.959772999626,,,,
117,Zoo Paving,Memorials & Sculptures,Arts & Heritage  - Sculpture - Paving,,-37.782561322013,144.953293930765,,,,
118,Burke & Wills Cairn,Memorials & Sculptures,Arts & Heritage  - Sculpture - Cairn,,-37.7889281178088,144.956058106876,,,,
119,Ceremony and Vehicle for Conveying Spirit,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8136957631715,144.968512999898,,,,
120,Widow and Children,Memorials & Sculptures,Arts & Heritage  - Sculpture - Statue,,-37.8302819071543,144.974339825095,,,,
121,Sir John Monash,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8267733389745,144.972752128938,,,,
122,Time and Tide,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8143983824308,144.966250918798,,,,
123,John Mockridge Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8155223709634,144.966994346849,,,,
124,Separation Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8106951235195,144.953685866683,,,,
125,Bali Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8024841102707,144.963242841603,,,,
126,General Charles Gordon Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8127260123213,144.973942497587,,,,
127,Reed Vessel,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8202323296824,144.946325095017,,,,
128,Nurse Edith Cavell Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.827987844927,144.973699167888,,,,
129,Reynold's Reserve Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7836611910613,144.960004006558,,,,
130,Georges Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8147653135597,144.968373946711,,,,
131,Another View Site 8,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8194133574865,144.960198663587,,,,
132,Robert Burns Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8143735830792,144.974719996297,,,,
133,Speakers Corner,Memorials & Sculptures,Art and Heritage Collection - Speakers Corner - Sculpture,,-37.8200825571427,144.975716690315,,,,
134,Vault,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.826071391918,144.967732716827,,,,
135,Sundial,Memorials & Sculptures,Arts & Heritage  - Horology - Sundial,,-37.810316205825,144.954937510299,,,,
136,Commonwealth Games Aquatic Sculptures - Eels,Memorials & Sculptures,Art and Heritage - Sculpture - Commonwealth Games Eel,,-37.7966290758514,144.924306747344,,,,
137,Coles Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Fountain,,-37.8097706399894,144.973483970263,,,,
138,World War 1 Memorial,Memorials & Sculptures,Arts & Heritage  - Memorials - Sculpture,,-37.7915502247943,144.958086476511,,,,
139,A History Apparatus - Vessel Craft & Beacon,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8130493644912,144.968210954796,,,,
140,Diana and the Hounds,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8143067766605,144.978499425414,,,,
141,River God Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8104167228785,144.980882423169,,,,
142,Architectural Fragment,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8098275435281,144.964046088207,,,,
143,King George V,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8242726781817,144.973213427595,,,,
144,Railway Viewing Platform,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8088169287784,144.943688301286,,,,
145,Lynch's Bridge Mosaic Mural,Memorials & Sculptures,Arts & Heritage  - Sculpture - Mural,,-37.7902053433568,144.923939187972,,,,
146,Domed Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8212403900153,144.970769453573,,,,
147,Sir William John Clarke,Memorials & Sculptures,Arts & Heritage  - Sculpture - Monument,,-37.8136729531192,144.974344858809,,,,
148,Fairies Tree,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8134099717816,144.981102238575,,,,
149,Mermaid and Fish,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8138419994948,144.98275871684,,,,
150,King Edward VII Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8226718035411,144.970988249771,,,,
151,Raising the Rattler Pole,Memorials & Sculptures,Art & Heritage - Sculpture - Raising the Rattler Pole,,-37.8209006645416,144.954692755363,,,,
152,Edward George Honey Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8297554644672,144.974419781225,,,,
153,The Water Nymph,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8222098042075,144.971335362099,,,,
154,Boy and Urn,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8121218036023,144.979703233987,,,,
155,Another View Site 1,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8112943375038,144.973169010105,,,,
156,Hotham Hill Pavement Inlay,Memorials & Sculptures,Arts & Heritage  - Sculpture - Pavement inlay,,-37.7949047877064,144.940383505871,,,,
157,Ecophene,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8198056338124,144.963285369515,,,,
158,Mary Gilbert Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Bust,,-37.8140756775122,144.978560254824,,,,
159,Eel Trap,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8191221578639,144.974075813898,,,,
160,Samuel Mauger Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8082489627974,144.975315343723,,,,
161,Brunton Drinking Fountain West,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.8184091013264,144.978855433923,,,,
162,Hotham Hill Seat,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.7949352206982,144.940340755268,,,,
163,Australia Today and Tomorrow,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8140548926813,144.967338697856,,,,
164,Grey Street Fountain,Artworks & Fountains,Fountain,"Fitzroy Gardens approximately 54m NW of Grandpa Giuseppe, Ground, 158 Clarendon Street, East Melbourne, 3002",-37.811543500644426,144.9829508862324,Unknown<br>,1863,"Known simply as the Grey Street Fountain, this is one of the oldest fountains in Melbourne's public gardens. Manufactured by Garnkirk, the fountain is of a simple design comprising three tazza bowls of diminishing sizes, with each bowl raised on a socle and pedestal. The rim of each bowl is decorated with an egg-and-dart moulding. The fountain is set on a volcanic rock outcrop within a pool. It is a well preserved example of an imported English design, indicative of the taste in garden ornamentation in the mid-late 19th Century.  Its construction commenced in 1863 under the direction of Clement Hodgkinson, the assistant commissioner of the Survey Office. The original concept incorporated a pool 30.5 metres long, with a central cluster of rocks from which water was to be ejected to nearly 15.25 metres, although this appears not to have been realised. The pond was filled with small islands of aquatic plantings and Sydney Couch Grass.  In 1968, Melbourne City Council wanted to replace the fountain with an elaborate sundial to commemorate the recently deceased prime minister, Harold Holt. When the council's intention became known, some 800 people petitioned against the fountain's removal. In the face of such opposition, plans for the sundial were scrapped and the Grey Street Fountain retained. The fountain is the only surviving ornament from that period in its original position in Fitzroy Gardens.",
165,Aqualung,Artworks & Fountains,Sculpture,"National@Docklands approximately 64m North of National Australia Bank, 808 Bourke Street, Docklands, 3008",-37.818843311029966,144.94506762996463,John Mead,2006,"Melbourne artist John Mead's Aqualungis a sleek and abstract sculpture that is loosely based on the breathing apparatus of the human body. It has a peaceful, contemplative and timeless presence in the busy public thoroughfare in the North-South link of the NAB buildings. Appearing to emerge from underground, Aqualung quietly disrupts the breezeway and the clean, efficient architecture that surrounds it - and like much of Mead's work, has the ability to take one's breath away.",
166,Brunton Drinking Fountain East,Artworks & Fountains,Drinking Fountain,,-37.78930375418185,144.97217890820102,Unknown,1938,"Sir William Brunton was the Lord Mayor of Melbourne from 1923 to 1926. He was the powerhouse behind the Lord Mayor's Hospital Fund, a founder of the National War Memorial Committee and an advocate of parks and gardens for public recreation.  Following his service, Brunton offered this ornamental granite and bluestone drinking fountain to the Parks & Gardens Committee, which had it erected in Curtain Square, on Rathdowne Street, North Carlton.",
167,Edmund FitzGibbon Memorial,Artworks & Fountains,Memorial,"St Kilda Road between Southbank Boulevard and Grant Street approximately 67m North of Faculty Of The VCA & Music, Building 871, 204-234 St Kilda Road, Southbank, 3006",-37.823612183804784,144.97041853309003,"White, James",1908,"Bronze statue of Edmund FitzGibbon depicted in a barrister's gown and wig, with Harcourt granite pedestal, 1908  James White trained as a sculptor in London before arriving in Sydney in 1884. In the early 1900s he was much in demand as a portraitist and bronze caster. His statue of Edmund FitzGibbon depicts his subject in a barrister's gown and wig, in reference to his admission to the bar in 1860, which followed several years of study while maintaining his duties as town clerk.  Edmund FitzGibbon was born in Ireland and worked as a clerk in London before immigrating to Australia in 1852. Four years later, he became Melbourne's town clerk. FitzGibbon secured several parks and gardens for the city and was instrumental in introducing tram tracks. In 1891, he became the first chair of the Melbourne Metropolitan Board of Works. This memorial was funded by public subscription and unveiled in 1908. It originally stood at the southern end of Princes Bridge, but was relocated in 1971 due to construction of the underpass. In 1983, it was relocated to Spring Street, before five years later being placed in storage. In 2003, it was sited in its current position, chosen for its proximity to the original site.",
168,Structure of Vortices,Artworks & Fountains,Audio Visual Artwork,"Digital Drive approximately 64m NW of O-Bento, Shop 2, Ground, 990 La Trobe Street, Docklands, 3008",-37.81394408497868,144.94655537163678,Cameron Robbins,2012,"Cameron Robbins is an artist with a deep interest in natural forces, and he naturally chose water as the subject of this video installation projected on the façade of the Melbourne Water building. It reveals the magnificent behaviour of vortex, which parallels that which appears in larger parts of the natural world such as cyclones and galaxies. Sometimes appearing like an avid dancer and a creature at another time, the vortex continually mesmerises viewers. Viewable from the Western elevation of 990 La Trobe from dusk.",
169,Faultline,Artworks & Fountains,Sculpture,Riverside Quay Reserve,-37.82115251478746,144.96423807327005,"Valamanesh, Hossein",1996,"Originally, Fault Line, created for its Southbank site, comprised a 70-metre granite path to the river's edge, a derelict wooden jetty, a sandstone-veneer `ruin' and two bronze half-figures and a rowboat. The sculpture reflected Hossein Valamanesh's abiding interest in memory, destruction and survival.   Fault Line was partially decommissioned in 2007. By then, the two figures had already been irreparably damaged and were removed, and the sandstone `ruin' at the southern extremity had become impossible to maintain and keep safe. The regrettable decision was made to decommission these elements of the work, along with the bronze rowing boat and single oar that had not been stolen. In an effort to retain some presence of the `ruin', a trace of its plan was made using the original sandstone. This memory trace is flush with the surrounding ground surface. The boat and remaining oar have been stored offsite.  Unveiled 6 October 1996",
170,Dinny O''''Hearn Fountain,Artworks & Fountains,Fountain,"Lygon Street between Faraday Street and Elgin Street approximately 7m North of Heartattack and Vine, 329 Lygon Street, Carlton, 3053",-37.79759910577447,144.96730652384852,Unknown,1981,"This small cast-iron fountain is named in honour of Dinny O'Hearn, an Irish-Australian literary critic and man of letters who had a long association with the nearby University of Melbourne. O'Hearn and much of Melbourne's literary establishment of his generation has also enjoyed a long association with Jimmy Watson's, the wine bar outside of which the fountain is sited. O'Hearn died in 1993, at the age of 56.",
