service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
bb6d281d-95d2-3e6e-4b1d-87d59ff459ac,UNKNOWN,Foot & Ankle Rehabilitation Australia - East Melbourne,,,,,,"Melbourne Orthopaedic Surgeons,188 GIPPS STREET",East Melbourne,VIC,3002,-37.81220931,144.98361272,,"IMER, STUART",
964ffe89-6de7-15d3-37be-50a756ac25ec,CLOSED,Immersive Psychology,,10:30:00 - 18:00:00,10:30:00 - 16:30:00,10:30:00 - 18:00:00,10:30:00 - 13:00:00,"Suite 9,228 Clarendon Street",East Melbourne,VIC,3002,-37.8094561,144.9840048,10:30:00 - 13:00:00,VISUAL IMAGES PTY. LTD.,
cbf87a0a-5763-3153-83f6-bd118ce85700,CLOSED,"Australian Romanian Community Welfare, Health And Services Association Of Victoria Inc",10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 17:00:00,,55 Melrose Street,North Melbourne,VIC,3051,-37.79417038,144.9415741,09:00:00 - 13:00:00,,
570c8b77-5f7e-e750-e261-a2605dbf7f7c,CLOSED,Victorian Elderly Chinese Welfare Society Inc,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,187 Victoria Street,West Melbourne,VIC,3003,-37.8060379,144.95533752,,VICTORIAN ELDERLY CHINESE WELFARE SOCIETY,
547c3541-51ab-1e47-b984-4ab7ff94212c,CLOSED,Australian Holistic Healers and Counsellors Association,,,,10:00:00 - 16:00:00,,Confidential Address,Melbourne,VIC,3000,-37.81332099,144.96289934,,,
e9555a09-e23e-897e-8a3b-6b6440bab2ed,CLOSED,Royal Freemasons Community Care Eastern,07:00:00 - 18:30:00,07:00:00 - 18:30:00,07:00:00 - 18:30:00,07:00:00 - 18:30:00,07:00:00 - 18:30:00,"Freemasons Homes,45 Moubray Street",Melbourne,VIC,3004,-37.84761429,144.98339844,,ROYAL FREEMASONS LTD,
6c361ed3-2ca3-5bd0-f836-a7ed0c7564f6,CLOSED,North West Aged Care Assessment Service (ACAS),08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,"Level 1 Building 2,34-54 Poplar Road",Parkville,VIC,3052,-37.77811432,144.94799805,,MELBOURNE HEALTH,
7f789b8e-ff0a-78fd-a337-0a50ca3f562d,CLOSED,Colgan Day Respite,09:00:00 - 15:00:00,09:00:00 - 15:00:00,09:00:00 - 15:00:00,09:00:00 - 15:00:00,09:00:00 - 15:00:00,"Rathdowne Place Aged Care,497 Rathdowne Street",Carlton,VIC,3053,-37.79359055,144.97091675,,AUSTRALIAN UNITY CARE SERVICES PTY LTD,
c71c9d70-4093-cc66-aef4-6dc4c83ecfc3,CLOSED,Palliative Care Victoria Inc,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 2,182 Victoria Parade",East Melbourne,VIC,3002,-37.80895615,144.97790527,,,
3e5df644-ef12-7e48-e015-15e6c00d6c96,CLOSED,Housing For The Aged Action Group - Home at Last service,10:00:00 - 16:00:00,10:00:00 - 16:00:00,10:00:00 - 16:00:00,10:00:00 - 16:00:00,10:00:00 - 16:00:00,"Ross House,Level 1,247 251 Flinders Lane",Melbourne,VIC,3000,-37.81699371,144.96617126,,,
863e0099-332d-2150-c2da-af94dd930f56,CLOSED,Carlton Senior Citizen Centre,,,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,"Kathleen Syme Library,251 Faraday Street",Carlton,VIC,3053,-37.79884338,144.96534729,,,
b6903fee-072a-b573-1e39-1dfe860e18e0,CLOSED,National Seniors Australia - Melbourne,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,,"Floor 2,290 Collins Street",Melbourne,VIC,3000,-37.81577301,144.96444702,,,
ed57e0a7-6887-9691-9c19-d2529f33be8f,CLOSED,Mercy Health Home & Community Care North West Metro,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,67 Cade Way,Parkville,VIC,3052,-37.77713013,144.93891907,,MERCY AGED AND COMMUNITY CARE LTD,
3ba4a38c-72c5-3902-ae24-3ab406a68f34,CLOSED,Jon Finch - Psychologist,,12:00:00 - 20:00:00,10:00:00 - 17:00:00,,10:00:00 - 17:00:00,806 Lygon Street,Carlton,VIC,3053,-37.79961014,144.96717834,07:00:00 - 12:00:00,,
06175917-ac28-41a2-af66-f3045be2df60,CLOSED,VincentCare Home Care Packages (West),09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,197 Flemington Road,North Melbourne,VIC,3051,-37.79494858,144.94827271,,VINCENTCARE VICTORIA,
233dd7a3-6b58-4d65-bc98-cd54075b2780,CLOSED,Good Psychology,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,62 Wellington Parade,East Melbourne,VIC,3002,-37.81638611,144.9882528,08:00:00 - 12:00:00,,
c970ecab-6f77-e164-4429-aec020843a2f,CLOSED,Solace Psychology,14:00:00 - 20:00:00,,,14:00:00 - 20:00:00,,145 Drummond Street,Carlton,VIC,3053,-37.80324936,144.96794128,,,
485eaeb9-9b3d-b587-793d-4e069e3bd36f,UNKNOWN,Aged Care Online,,,,,,"Level 5,114 FLINDERS STREET",Melbourne,VIC,3000,-37.81621779,144.97093911,,,
58d419ed-6531-f0ae-32f3-1903b097cd3b,CLOSED,Seniors Information Victoria,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 17:00:00,10:00:00 - 17:00:00,"Level 1,533 Little Lonsdale Street",Melbourne,VIC,3000,-37.8130722,144.95619202,,COUNCIL ON THE AGEING (VIC) INC,
9d92d185-5a7e-5e12-98bf-f42e939c1ff7,CLOSED,CO.AS.IT Aged Care Services,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,189 Faraday Street,Carlton,VIC,3053,-37.79897308,144.96813965,,CO.AS.IT. - ITALIAN ASSISTANCE ASSOCIATION,
fc5e4ca3-23fa-4083-9aeb-3d3709b3adba,CLOSED,Ambition Home Care,10:00:00 - 21:00:00,10:00:00 - 21:00:00,10:00:00 - 21:00:00,10:00:00 - 21:00:00,10:00:00 - 21:00:00,Confidential Address,Melbourne,VIC,3000,-37.82505258,144.97150601,10:00:00 - 21:00:00,,10:00:00 - 21:00:00
08de9bf0-be68-16e7-db56-7233358f08de,CLOSED,Gabriel Rusu - Psychologist Melbourne CBD,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 10 Suite 1012,530 Little Collins Street",Melbourne,VIC,3000,-37.81686783,144.95709229,,"RUSU, GABRIEL",
10fa7560-e988-4ae1-b734-be21ff33e933,CLOSED,Ambertree Psychology,,10:00:00 - 18:00:00,,12:00:00 - 20:00:00,08:00:00 - 13:00:00,"Suite 21, 255 Drummond Street",Carlton,VIC,3053,-37.79979349,144.967938,,,
3464c64f-7a47-eaa6-34a0-90f0166f448f,CLOSED,Carers Victoria - Footscray Office,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,08:30:00 - 17:00:00,Confidential address,Melbourne,VIC,3000,-37.82529412,144.97153819,,CARERS VICTORIA INCORPORATED,
e4196486-0c7f-3e08-6e64-ac6f0764b714,UNKNOWN,Dr Sarah Crome Psychologist - Woodend,,,,,,155 Drummond Street,Carlton,VIC,3053,-37.80271912,144.96783447,,"CROME, SARAH ALEXANDRA",
4d473006-1820-42eb-bf67-404759f2e443,CLOSED,The Practice Wellbeing Centre,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,196 FLINDERS STREET,Melbourne,VIC,3000,-37.81673457,144.96814296,08:00:00 - 15:00:00,,
5fdef99c-79fc-4b22-a460-e7defc905a64,CLOSED,Anthony M Cichello Clinical Psychologist,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Christie Suites,454 Collins Street",Melbourne,VIC,3000,-37.81734848,144.95922852,09:00:00 - 13:00:00,,
