type,name,address,artist,year,description,latitude,longitude
Art,Blowhole,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219554500409,144.947041997573
Monument,Tilly Aston Bell,"Kings Domain, Alexandra Avenue, MELBOURNE",Anton Hasell,1999,Bronze sculpture,-37.8253717117323,144.975900201821
Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,Sculpture,-37.815142895306,144.941571658474
Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187745168339,144.974175613725
Art,The Pathfinder,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",John Edward Robinson,1974,Bronze sculpture,-37.8220280738117,144.970355228248
Fountain,Clayton Reserve Drinking Fountain,"241 Macaulay Road, NORTH MELBOURNE",unknown,1935,Granite drinking fountain,-37.7956635739188,144.938934811008
Art,Farnex Hercules,"90 St Kilda Road, SOUTHBANK",unknown,1780,Marble bust with granite pedestal,-37.8211093204271,144.969673137809
Fountain,Bali Memorial,"Lincoln Square, Swanston Street, CARLTON",Unknown,2003,"Granite, concrete and stainless steel",-37.8024246248361,144.963256124373
Fountain,Exhibition Fountain,"9 Nicholson Street, CARLTON",Josef Hochgurtel,1880,Portland cement fountain,-37.805456726498,144.971368298725
Fountain,River God Fountain,"304 Albert Street, EAST MELBOURNE",Charles Summers,1862,Stone and cement fountain,-37.8104167138709,144.980882423414
Art,Reynold's Reserve Drinking Fountain,"Princes Park, Royal Parade, CARLTON NORTH",unknown,c. 1935,Red-granite and brick drinking fountain,-37.7836612081103,144.960004054347
Monument,James C. Roberts,"4 The Avenue, PARKVILLE",unknown,unknown,Granite obelisk,-37.7891381500076,144.957053809565
Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,Sculpture,-37.8150889597275,144.941472613193
Art,The Genie,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Sculptor Tom Bass; founder F.J. & I. Lemon,1973,Bronze sculpture,-37.8214877401729,144.971194700662
Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185907034456,144.971834942502
Art,Threaded Field,"750 Bourke Street, DOCKLANDS",Simon Perry,1999,Sculpture,-37.8179724438437,144.947887016093
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201325090472,144.959336879083
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200555636082,144.959698879153
Art,Temple of the Winds,"116 Clarendon Street, EAST MELBOURNE",Thomas Jones & Co,1873,Masonry and bluestone rotunda,-37.8128096374869,144.981735857931
Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185914278651,144.971866175309
Monument,Lady Janet Clarke Memorial,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Herbert Black,1913,Concrete and stamped copper rotunda,-37.8223354912272,144.971835332477
Fountain,French Fountain,"9 Nicholson Street, CARLTON",unknown,c. 1880,Bronze fountain with granite plinth,-37.8049009757854,144.972849834667
Art,IOU,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,2005,Stainless steel and toughened glass,-37.8201338075104,144.947948917363
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201043033663,144.959426584028
Fountain,Walker Fountain,"210 St Kilda Road, SOUTHBANK","Mobelt, Digregorio & Associates",1981,Concrete fountain,-37.8235489328706,144.970827540478
Art,The Travellers,"Sandridge Bridge, SOUTHBANK",Artist Nadim Karam; manufacturer Arup Engineering,2005,Stainless-steel tubing and glass panel installation,-37.8206998343058,144.962209921997
Fountain,Macpherson Robertson Fountain,"2 Domain Road, MELBOURNE",Designer Philip Hudson; sculptor Paul Montford,1934,"Granite, bronze and concrete fountain",-37.8323774569183,144.972934293353
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200608408543,144.959653574985
Art,Car Nuggets,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,2006,Sculptural forms,-37.8217384627114,144.949169769731
Art,Car Nuggets,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,2006,Sculptural forms,-37.8217244747982,144.949168740276
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201046430242,144.959477986287
Monument,Edmund Fitzgibbon Memorial,"208 St Kilda Road, SOUTHBANK",James White,1908,Bronze statue with Harcourt granite pedestal,-37.8236122113264,144.970418561306
Art,Threaded Field,"687 La Trobe Street, DOCKLANDS",Simon Perry,1999,Sculpture,-37.8153623400158,144.946876084269
Art,The Public Purse,"348 Bourke Street, MELBOURNE",Simon Perry,1994,Calca red-granite and stainless-steel sculpture,-37.8140976855607,144.963400769342
Monument,Stapley Memorial Drinking Fountain,"Birrarung Marr, Batman Avenue, MELBOURNE",unknown,1936,Granite drinking fountain,-37.8189109575006,144.973021274734
Art,Three Businessmen Who Brought Their Own Lunch,"173 Swanston Street, MELBOURNE",Alison Weaver and Paul Quinn,1993,Bronze sculpture,-37.8136854004532,144.965574539781
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200953335,144.959704036718
Monument,General Charles Gordon Memorial,"74 Spring Street, EAST MELBOURNE",Sculptor Hamo Thornycroft; founder J. Moore,1887,"Limestone, Harcourt granite and bronze memorial",-37.8127260372375,144.973942531552
Fountain,Stanford Fountain,"88 Spring Street, EAST MELBOURNE",William Stanford,c. 1870,Bluestone fountain,-37.8124342889143,144.973955482708
Art,"A History Apparatus - Vessel, Craft & Beacon","147 Russell Street, MELBOURNE",Chris Reynolds,1993,"Steel and fibreglass sculpture on bitumen, concrete and bluestone foundation",-37.8130493620338,144.968210969062
Monument,Burke and Wills Cairn,"6 The Avenue, PARKVILLE",unknown,1890,Stone cairn,-37.7889280817664,144.956058081184
Art,Lie of the Land,"IMAX Theatre, Rathdowne Street, CARLTON",Fiona Foley and Chris Knowles,1997,Sandstone sculpture,-37.8037692024891,144.972134286246
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201540531024,144.959283942501
Art,Silence,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,Sculpture,-37.8150603527985,144.941593770341
Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,Sculpture,-37.8151593795233,144.941509412449
Art,The Echo,"219 Swanston Street, MELBOURNE",Edward Ginger,1996,Steel plate sculpture with polyurethane paint,-37.812705684744,144.965153944033
Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,Sculpture,-37.81508276715,144.941482783904
Art,Maxims of Behaviour,"Royal Mail House, cnr Bourke & Swanston Sts, MELBOURNE",Alexander Knox,2008,Kinetic light installation,-37.8136024551412,144.965808885624
Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,Bronze sculpture,-37.7788627462445,144.961112677408
Monument,John Batman Memorial (1),"439 Queen Street, MELBOURNE",J.W. Brown,unknown,Bluestone cairn,-37.8081354860573,144.957645863417
