description,type,model,location,condition,latitude,longitude
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"River Esplanade between Swinging Basin Lane and Point Park Crescent approximately 6m North of 118 River Esplanade, Docklands, 3008",3.44,-37.823792955173786,144.9431039593365
Seat - Stainless Steel Seat - 3m & LED lights,Seat,Seat - Stainless Steel Seat - 3m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m North of Foot Locker, Gnd & Flr1, 327-329 Bourke Street, Melbourne, 3000",1.45,-37.81403537747067,144.9640965662264
Seat - Stainless Steel Seat - 3m & LED lights,Seat,Seat - Stainless Steel Seat - 3m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m NW of David Jones, 299 Bourke Street, Melbourne, 3000",4.45,-37.81384925227319,144.96473587556437
Seat - Stainless Steel Seat - 3m & LED lights,Seat,Seat - Stainless Steel Seat - 3m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m North of Sportsgirl, Shop 23, 283 Bourke Street, Melbourne, 3000",3.45,-37.81372458656876,144.96521889299112
Seat - Stainless Steel Seat - 6m & LED lights,Seat,Seat - Stainless Steel Seat - 6m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street approximately 8m North of Shop 4-7, 309-325 Bourke Street, Melbourne, 3000",3.45,-37.814033923768726,144.9641688522083
Seat - Stainless Steel Seat - 6m & LED lights,Seat,Seat - Stainless Steel Seat - 6m & LED lights,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m NW of David Jones, 299 Bourke Street, Melbourne, 3000",3.45,-37.81387336384709,144.96470749639323
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street approximately 14m NE of David Jones, 299 Bourke Street, Melbourne, 3000",2.45,-37.813828524905226,144.96488184527092
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street approximately 22m SW of Pandora, 280-282 Bourke Street, Melbourne, 3000",3.45,-37.813658928350456,144.96501247823545
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m NE of Australia And New Zealand Banking Group Limited, 335 Bourke Street, Melbourne, 3000",4.45,-37.81408324015813,144.96395643885802
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Swanston Street and Elizabeth Street approximately 18m SW of Myer Melbourne, Gnd - Levels 2,5 & 7, Part Levels 4 & 6, 314-336 Bourke Street, Melbourne, 3000",2.45,-37.81397474476513,144.96390989257645
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Bourke Street between Spring Street and Exhibition Street approximately 5m South of Imperial Hotel, The Imperial Hotel, 2-8 Bourke Street, Melbourne, 3000",1.37,-37.811340473812216,144.97273951247098
Seat - Handrail Steps and Seating Wall,Seat,Seat - Handrail Steps and Seating Wall,"Bourke Street between Swanston Street and Elizabeth Street approximately 16m NE of Cotton On, Shop 1-2 & 6, Ground & Part Level 1, 341-357 Bourke Street, Melbourne, 3000",3.45,-37.81416214362411,144.96369879676675
Seat - Metal Semi-circular Seats,Seat,Seat - Metal Semi-circular Seats,"Lygon Street between Grattan Street and Faraday Street approximately 5m West of DOC Espresso, 328 Lygon Street, Carlton, 3053",3.17,-37.79929738261094,144.96729642386398
Seat - Metal Semi-circular Seats,Seat,Seat - Metal Semi-circular Seats,"Lygon Street between Grattan Street and Faraday Street approximately 5m East of H & N Nails, Ground, 211 Lygon Street, Carlton, 3053",2.17,-37.80041132746047,144.96686303917173
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Bourke Street between Elizabeth Street and Queen Street approximately 5m South of Peter Jackson Menswear, 418-420 Bourke Street, Melbourne, 3000",3.44,-37.8146580464614,144.96143246098998
Seat - Metal Seat,Seat,Seat - Metal Seat,"Elizabeth Street between A'Beckett Street and Franklin Street approximately 6m SW of Kicks, 446 Elizabeth Street, Melbourne, 3000",3.12,-37.80841187783488,144.96060334325716
Seat - Metal Seat,Seat,Seat - Metal Seat,"Queen Street between Collins Street and Little Collins Street approximately 33m East of IGA Express, Ground, 85 Queen Street, Melbourne, 3000",3.1,-37.81657356474337,144.9615666334737
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Flinders Lane between Elizabeth Street and Queen Street approximately 25m SW of Tian38, Tenancy 4, 350 Flinders Lane, Melbourne, 3000",3.4,-37.81786003401517,144.96236041081784
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Exhibition Street between Lonsdale Street and Little Lonsdale Street approximately 50m SE of Pepe's Italian & Liquor, 275-285 Exhibition Street, Melbourne, 3000",3.4,-37.80961367696224,144.96958266036776
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Lonsdale Street between Spring Street and Exhibition Street approximately 20m SW of Melbourne City Medical Centre, 68 Lonsdale Street, Melbourne, 3000",2.38,-37.80987902767219,144.97005564193475
Seat - Metal Bench,Seat,Seat - Metal Bench,"Queens Bridge Street between Power Street and Kings Way approximately 6m West of Central Equity Limited, 85B Queens Bridge Street, Southbank, 3006",3.02,-37.82397093218316,144.9607174572109
Seat - Metal Bench,Seat,Seat - Metal Bench,"William Street between Lonsdale Street and Little Lonsdale Street approximately 34m East of Galbally & O'Bryan, 259 William Street, Melbourne, 3000",3.11,-37.813095575914055,144.957173110908
Seat - Metal Bench,Seat,Seat - Metal Bench,"Therry Street between Elizabeth Street and Queen Street approximately 29m SW of Meet Sando, 507 Elizabeth Street, Melbourne, 3000",3.16,-37.80716682045191,144.95938136195085
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Spring Street between Flinders Lane and Collins Street approximately 20m North of Ground, Mezzanine & Level 1, 49 Spring Street, Melbourne, 3000",3.42,-37.81376981484004,144.97402971361666
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Collins Street between Spring Street and Exhibition Street approximately 5m NW of Sofitel Melbourne On Collins, Sofitel Hotel, Collins Tower, 25 Collins Street, Melbourne, 3000",3.44,-37.81373534710192,144.97288051546835
Seat - Metal Bench,Seat,Seat - Metal Bench,"Bourke Street between Exhibition Street and Russell Street approximately 11m SW of Killiney Kopitiam Bourke Street, Shop 11, UprGround, 100 Bourke Street, Melbourne, 3000",4.1,-37.81212429612236,144.9700757041029
Seat - Metal Seat,Seat,Seat - Metal Seat,"Bourke Street between Elizabeth Street and Queen Street approximately 4m South of Catch 22 Menswear, Shop, 430 Bourke Street, Melbourne, 3000",3.16,-37.81473398338744,144.96114433872623
Seat - Metal Seat,Seat,Seat - Metal Seat,"Macaulay Road between Henry Street and Kensington Road approximately 2m North of 541 Macaulay Road, Kensington, 3031",3.14,-37.79428461717743,144.92806999585753
Seat - Metal Seat,Seat,Seat - Metal Seat,"Epsom Road between Kensington Road and The Ridgeway approximately 8m North of St Virgin Marie Coptic Church, 1-3 Epsom Road, Kensington, 3031",2.85,-37.7939695824868,144.92748191051692
Seat - Metal Seat,Seat,Seat - Metal Seat,"Stockmans Way between Watkins Way and Colonial Place approximately 11m NW of 31-33 Stockmans Way, Kensington, 3031",2.87,-37.79145688138669,144.9220223684664
Seat - Metal Seat,Seat,Seat - Metal Seat,"King Street between Flinders Street and Flinders Lane approximately 17m North of State Of Grace, Basement , Ground & Rooftop, 27 King Street, Melbourne, 3000",3.11,-37.81961188744605,144.9570644611616
Seat - Metal Seat,Seat,Seat - Metal Seat,"Coventry Street between St Kilda Road and Wells Street approximately 75m NW of Wesfarmers, Ground & Level 7, 324 St Kilda Road, Southbank, 3006",2.99,-37.828920073366575,144.97064144340942
Seat - Metal Seat,Seat,Seat - Metal Seat,"Coventry Street between Wells Street and Dodds Street approximately 4m North of L U Simon Builders Proprietary Limited, 83-89 Coventry Street, Southbank, 3006",2.99,-37.82995105771063,144.96715440743571
Seat - Metal Seat,Seat,Seat - Metal Seat,"Coventry Street between Dodds Street and Sturt Street approximately 68m East of Sturt Street Reserve, 276-280 Sturt Street, Southbank, 3006",2.99,-37.830061817316974,144.96598075023604
Seat - Metal Seat,Seat,Seat - Metal Seat,"Kavanagh Street between Power Street and Balston Street approximately 40m East of Unit 1, Ground, 90 Kavanagh Street, Southbank, 3006",3.02,-37.824946022220615,144.96348840184626
Seat - Metal Seat,Seat,Seat - Metal Seat,"Elgin Street between Drummond Street and Lygon Street approximately 8m NW of Coles Express, 191-197 Elgin Street, Carlton, 3053",3.1,-37.79732225466518,144.9679848506231
Seat - Metal Seat,Seat,Seat - Metal Seat,"Rathdowne Street between Faraday Street and Elgin Street approximately 39m SE of Tooborac Pies & Beers, 137-143 Elgin Street, Carlton, 3053",3.08,-37.79781989309313,144.97030552356705
Seat - Metal Seat,Seat,Seat - Metal Seat,"Clarendon Street between Wellington Parade and George Street approximately 49m West of Hepburn Terrace, 209 George Street, East Melbourne, 3002",3.05,-37.81512863989127,144.98288659030553
Seat - Metal Seat,Seat,Seat - Metal Seat,"Wellington Parade South between Agnes Street and Jolimont Road approximately 11m NW of Beddgood & Co, 137 Wellington Parade South, East Melbourne, 3002",2.03,-37.81663008472382,144.97994236423887
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Lonsdale Street between Swanston Street and Elizabeth Street approximately 21m South of Commonwealth Bank Of Australia, ATM 12, Ground, 300 Lonsdale Street, Melbourne, 3000",3.4,-37.81186020733914,144.9633096125044
Seat - Metal Seat,Seat,Seat - Metal Seat,"Approximately 42m North of Albion Hotel, 171-173 Curzon Street, North Melbourne, 3051",2.83,-37.79857149187092,144.94852039247817
Seat - Metal Seat,Seat,Seat - Metal Seat,"Villiers Street between Flemington Road and Courtney Street approximately 28m NW of 8 Villiers Street, North Melbourne, 3051",3.13,-37.80007543992238,144.95217443798228
Seat - Metal Seat,Seat,Seat - Metal Seat,"Commercial Road between St Kilda Road and Punt Road approximately 31m North of Amrep As Pty Ltd, Auditorium - Baker Research Institute, Amrep Building, Alfred Hospital, 75 Commercial Road, Melbourne, 3004",3.06,-37.84534696437431,144.9833433954871
Seat - Metal Seat,Seat,Seat - Metal Seat,"Bedford Street between Courtney Street and Peel Street approximately 6m East of Campus Services, 21 Bedford Street, North Melbourne, 3051",3.12,-37.80209334590193,144.95599686465704
Seat - Metal Seat,Seat,Seat - Metal Seat,"Queen Street between Little Lonsdale Street and La Trobe Street approximately 9m NW of Victoria University, 300 Queen Street, Melbourne, 3000",3.11,-37.81165705316627,144.95932089149645
Seat - Metal Seat,Seat,Seat - Metal Seat,"Queen Street between Lonsdale Street and Little Lonsdale Street approximately 18m NW of Bank Of China, 270 Queen Street, Melbourne, 3000",3.11,-37.81214946796908,144.95955041855174
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Russell Street between Little Bourke Street and Lonsdale Street approximately 5m SW of National Australia Bank Limited, Tenancy 2-4, 196-204 Russell Street, Melbourne, 3000",3.42,-37.81167961873496,144.9677069051382
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Russell Street between Lonsdale Street and Little Lonsdale Street approximately 3m SW of E-Mart Grocery, 252 Russell Street, Melbourne, 3000",3.4,-37.81042530737244,144.9671556344951
Seat - Metal Seat,Seat,Seat - Metal Seat,"Lonsdale Street between Swanston Street and Elizabeth Street approximately 6m West of Secure Parking Pty Ltd, Carpark, 323-345 Lonsdale Street, Melbourne, 3000",4.1,-37.8122719232898,144.96269830675408
Seat - Metal Seat,Seat,Seat - Metal Seat,"Leicester Street between Berkeley Street and Queensberry Street approximately 29m East of Diabetes Victoria, Ground, 51 Leicester Street, Carlton, 3053",2.96,-37.80490299939318,144.9603190434943
Seat - Metal Seat,Seat,Seat - Metal Seat,"Southbank Promenade approximately 67m NE of Langham Hotel Melbourne, 1 Southgate Avenue, Southbank, 3006",2.16,-37.819928438623336,144.96619819473892
Seat - Metal Seat,Seat,Seat - Metal Seat,"Northbank approximately 59m East of City of Melbourne, Les Erdi Plaza, Northbank, Flinders Walk, Melbourne, 3000",3.16,-37.81939070394854,144.96437281955986
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Lonsdale Street between Exhibition Street and Russell Street approximately 27m NW of Hotel Grand Chancellor, 131 Lonsdale Street, Melbourne, 3000",3.4,-37.8103911747534,144.9683265361796
Seat - Metal Seat,Seat,Seat - Metal Seat,"Sturt Street between Grant Street and Miles Street approximately 13m SW of Malthouse Theatre, The Malthouse Theatre, 113 Sturt Street, Southbank, 3006",3.02,-37.82698202421864,144.9664433188022
Seat - Metal Seat,Seat,Seat - Metal Seat,"Wells Street between Grant Street and Miles Street approximately 34m NE of CitiPower Pty Ltd, Substation, 4 Miles Street, Southbank, 3006",2.99,-37.82816907211986,144.96843332409117
Seat - Metal Seat,Seat,Seat - Metal Seat,"Gisborne Street between Albert Street and Victoria Parade approximately 48m North of Zouki Cafe, Ground, 32 Gisborne Street, East Melbourne, 3002",1.16,-37.80858836725306,144.97610288032874
