service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
abdce34b-1663-4f86-a637-944a83a25f2a,CLOSED,MyHealth Medical Centre - Carlton,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Lygon Court Shopping Centre,Level 1 Suite 7,380 Lygon Street",Carlton,VIC,3053,-37.79806137,144.96818542,09:00:00 - 13:00:00,,
7502f99d-53e2-489d-afd0-b4b14de0a01f,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
0585b7cd-72e8-45c1-9f32-ceab21d1964b,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
35474839-4c8f-41d3-af28-4dfcc24ce5fd,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
551083e4-59e2-46d6-a547-cb30b039a475,CLOSED,Southgate Medical Centre,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,08:30:00 - 17:30:00,3 Southgate Avenue,Southbank,VIC,3006,-37.82021332,144.96607971,,"FOX, MARTIN DAVID",
9ed808d5-b9eb-419b-abee-f5c70674432f,CLOSED,The Royal Melbourne Hospital,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,300 GRATTAN STREET,Parkville,VIC,3052,-37.79863148,144.95634016,,MELBOURNE HEALTH,
c8ecc4c6-2377-423b-a0ee-9848cec09382,CLOSED,Kensington Healthcare,08:30:00 - 17:30:00,08:30:00 - 17:30:00,09:00:00 - 17:00:00,09:00:00 - 17:30:00,09:00:00 - 17:30:00,475 MacAulay Road,Kensington,VIC,3031,-37.79468536,144.93034363,09:00:00 - 13:00:00,,
8ae8d2c6-a0c5-468e-82ee-8f0319131e63,CLOSED,The Talk Shop - Little Collins Street,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,"Equitable House,Level 1 Suite 115,343 Little Collins Street",Melbourne,VIC,3000,-37.81545258,144.96342468,08:00:00 - 16:00:00,APICAL VISTA PTY LTD,
c9ed8254-8987-4ee6-a66d-16dda6c0b58b,CLOSED,The Talk Shop - Little Collins Street,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,"Equitable House,Level 1 Suite 115,343 Little Collins Street",Melbourne,VIC,3000,-37.81545258,144.96342468,09:00:00 - 16:00:00,APICAL VISTA PTY LTD,
ff26eb9a-e3de-455d-a7aa-754bbccf3369,CLOSED,Medi7 - St Kilda Rd,08:00:00 - 16:00:00,08:00:00 - 16:00:00,08:00:00 - 16:00:00,08:00:00 - 16:00:00,08:00:00 - 16:00:00,"Suite 2A,517 St Kilda Road",Melbourne,VIC,3004,-37.84459305,144.97930908,,THE TRUSTEE FOR THE MEDI7 UNIT TRUST,
cf0ea499-f90c-4764-bb58-e2e4f8fd9602,CLOSED,MSI Vasectomy - Mayfair Operating Centre,07:00:00 - 19:00:00,07:00:00 - 19:00:00,07:00:00 - 19:00:00,07:00:00 - 18:00:00,07:00:00 - 18:00:00,"Level 7,766 ELIZABETH STREET",Melbourne,VIC,3000,-37.80055459,144.95819114,09:00:00 - 17:00:00,,
cf830b15-ef79-4402-b800-b784a6fbc39c,CLOSED,Carlton Family Medical,08:15:00 - 17:00:00,08:15:00 - 17:00:00,08:15:00 - 17:00:00,08:15:00 - 17:00:00,08:15:00 - 17:00:00,88 Rathdowne Street,Carlton,VIC,3053,-37.79790115,144.97071838,09:00:00 - 13:00:00,,
